Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,2.38,2.38,2.38,2.38,000,2.38
2016-03-31,2.38,2.38,2.38,2.38,000,2.38
2016-03-30,2.38,2.38,2.38,2.38,000,2.38
2016-03-29,2.38,2.38,2.38,2.38,000,2.38
2016-03-28,2.38,2.38,2.38,2.38,000,2.372
2016-03-24,2.38,2.38,2.38,2.38,000,2.372
2016-03-23,2.38,2.38,2.38,2.38,000,2.372
2016-03-22,2.38,2.38,2.38,2.38,000,2.372
2016-03-21,2.38,2.38,2.38,2.38,000,2.372
2016-03-18,2.38,2.38,2.38,2.38,000,2.372
2016-03-17,2.38,2.38,2.38,2.38,000,2.372
2016-03-16,2.38,2.38,2.38,2.38,000,2.372
2016-03-15,2.38,2.38,2.38,2.38,000,2.372
2016-03-14,2.38,2.38,2.38,2.38,000,2.372
2016-03-11,2.38,2.38,2.38,2.38,000,2.372
2016-03-10,2.38,2.38,2.38,2.38,000,2.372
2016-03-09,2.38,2.38,2.38,2.38,000,2.372
2016-03-08,2.38,2.38,2.38,2.38,000,2.372
2016-03-07,2.38,2.38,2.38,2.38,000,2.372
2016-03-04,2.38,2.38,2.38,2.38,100,2.372
2016-03-03,2.18,2.18,2.18,2.18,000,2.172672
2016-03-02,2.18,2.18,2.18,2.18,000,2.172672
2016-03-01,2.18,2.18,2.18,2.18,000,2.172672
2016-02-29,2.18,2.18,2.18,2.18,000,2.172672
2016-02-26,2.18,2.18,2.18,2.18,000,2.172672
2016-02-25,2.18,2.18,2.18,2.18,000,2.172672
2016-02-24,2.18,2.18,2.18,2.18,000,2.172672
2016-02-23,2.18,2.18,2.18,2.18,000,2.172672
2016-02-22,2.18,2.18,2.18,2.18,000,2.172672
2016-02-19,2.18,2.18,2.18,2.18,000,2.172672
2016-02-18,2.18,2.18,2.18,2.18,000,2.172672
2016-02-17,2.18,2.18,2.18,2.18,000,2.172672
2016-02-16,2.18,2.18,2.18,2.18,000,2.172672
2016-02-12,2.18,2.18,2.18,2.18,000,2.172672
2016-02-11,2.18,2.18,2.18,2.18,000,2.172672
2016-02-10,2.18,2.18,2.18,2.18,000,2.172672
2016-02-09,2.18,2.18,2.18,2.18,000,2.172672
2016-02-08,2.18,2.18,2.18,2.18,000,2.172672
2016-02-05,2.18,2.18,2.18,2.18,000,2.172672
2016-02-04,2.18,2.18,2.18,2.18,000,2.172672
2016-02-03,2.18,2.18,2.18,2.18,000,2.172672
2016-02-02,2.18,2.18,2.18,2.18,000,2.172672
2016-02-01,2.18,2.18,2.18,2.18,000,2.172672
2016-01-29,2.18,2.18,2.18,2.18,000,2.172672
2016-01-28,2.18,2.18,2.18,2.18,000,2.172672
2016-01-27,2.18,2.18,2.18,2.18,000,2.172672
2016-01-26,2.18,2.18,2.18,2.18,000,2.172672
2016-01-25,2.18,2.18,2.18,2.18,000,2.172672
2016-01-22,2.18,2.18,2.18,2.18,000,2.172672
2016-01-21,2.18,2.18,2.18,2.18,100,2.172672
2016-01-20,2.14,2.14,2.14,2.14,000,2.132807
2016-01-19,2.14,2.14,2.14,2.14,000,2.132807
2016-01-15,2.14,2.14,2.14,2.14,000,2.132807
2016-01-14,2.14,2.14,2.14,2.14,000,2.132807
2016-01-13,2.14,2.14,2.14,2.14,000,2.132807
2016-01-12,2.14,2.14,2.14,2.14,000,2.132807
2016-01-11,2.14,2.14,2.14,2.14,000,2.132807
2016-01-08,2.14,2.14,2.14,2.14,000,2.132807
2016-01-07,2.14,2.14,2.14,2.14,000,2.132807
2016-01-06,2.14,2.14,2.14,2.14,000,2.132807
2016-01-05,2.14,2.14,2.14,2.14,000,2.132807
2016-01-04,2.14,2.14,2.14,2.14,000,2.132807
2015-12-31,2.14,2.14,2.14,2.14,000,2.132807
2015-12-30,2.14,2.14,2.14,2.14,000,2.132807
2015-12-29,2.14,2.14,2.14,2.14,000,2.132807
2015-12-28,2.14,2.14,2.14,2.14,000,2.12583
2015-12-24,2.14,2.14,2.14,2.14,000,2.12583
2015-12-23,2.14,2.14,2.14,2.14,000,2.12583
2015-12-22,2.14,2.14,2.14,2.14,000,2.12583
2015-12-21,2.14,2.14,2.14,2.14,20000,2.12583
2015-12-18,2.29,2.29,2.22,2.22,20000,2.205301
2015-12-17,2.24,2.24,2.24,2.24,000,2.225168
2015-12-16,2.30,2.30,2.24,2.24,10000,2.225168
2015-12-15,2.25,2.25,2.25,2.25,000,2.235102
2015-12-14,2.25,2.25,2.25,2.25,24400,2.235102
2015-12-11,2.80,2.80,2.80,2.80,000,2.78146
2015-12-10,2.80,2.80,2.80,2.80,000,2.78146
2015-12-09,2.80,2.80,2.80,2.80,000,2.78146
2015-12-08,2.80,2.80,2.80,2.80,000,2.78146
2015-12-07,2.80,2.80,2.80,2.80,000,2.78146
2015-12-04,2.80,2.80,2.80,2.80,000,2.78146
2015-12-03,2.80,2.80,2.80,2.80,000,2.78146
2015-12-02,2.80,2.80,2.80,2.80,000,2.78146
2015-12-01,2.80,2.80,2.80,2.80,000,2.78146
