Date,Open,High,Low,Close,Volume,Adj_Close
2015-12-31,0.025,0.025,0.025,0.025,000,0.025
2015-12-30,0.025,0.025,0.025,0.025,000,0.025
2015-12-29,0.025,0.025,0.025,0.025,000,0.025
2015-12-28,0.025,0.025,0.025,0.025,000,0.025
2015-12-25,0.025,0.025,0.025,0.025,000,0.025
2015-12-24,0.025,0.025,0.025,0.025,000,0.025
2015-12-23,0.025,0.025,0.025,0.025,000,0.025
2015-12-22,0.025,0.025,0.025,0.025,000,0.025
2015-12-21,0.025,0.025,0.025,0.025,000,0.025
2015-12-18,0.024,0.024,0.024,0.024,000,0.024
2015-12-17,0.024,0.024,0.024,0.024,000,0.024
2015-12-16,0.024,0.024,0.024,0.024,000,0.024
2015-12-15,0.029,0.029,0.024,0.024,5000,0.024
2015-12-14,0.029,0.029,0.029,0.029,000,0.029
2015-12-11,0.029,0.029,0.029,0.029,000,0.029
2015-12-10,0.029,0.029,0.029,0.029,000,0.029
2015-12-09,0.029,0.029,0.029,0.029,000,0.029
2015-12-08,0.029,0.029,0.029,0.029,000,0.029
2015-12-07,0.029,0.029,0.029,0.029,000,0.029
2015-12-04,0.029,0.029,0.029,0.029,000,0.029
2015-12-03,0.029,0.029,0.029,0.029,000,0.029
2015-12-02,0.029,0.029,0.029,0.029,000,0.029
2015-12-01,0.029,0.029,0.029,0.029,000,0.029
2015-11-30,0.029,0.029,0.029,0.029,000,0.029
2015-11-27,0.029,0.029,0.029,0.029,000,0.029
2015-11-26,0.029,0.029,0.029,0.029,000,0.029
2015-11-25,0.029,0.029,0.029,0.029,000,0.029
2015-11-24,0.029,0.029,0.029,0.029,000,0.029
2015-11-23,0.029,0.029,0.029,0.029,000,0.029
2015-11-20,0.029,0.029,0.029,0.029,000,0.029
2015-11-19,0.029,0.029,0.029,0.029,000,0.029
2015-11-18,0.029,0.029,0.029,0.029,000,0.029
2015-11-17,0.029,0.029,0.029,0.029,000,0.029
2015-11-16,0.029,0.029,0.029,0.029,000,0.029
2015-11-13,0.029,0.029,0.029,0.029,000,0.029
2015-11-12,0.029,0.029,0.029,0.029,000,0.029
2015-11-11,0.029,0.029,0.029,0.029,000,0.029
2015-11-10,0.029,0.029,0.029,0.029,000,0.029
2015-11-09,0.029,0.029,0.029,0.029,000,0.029
2015-11-06,0.029,0.029,0.029,0.029,000,0.029
2015-11-05,0.028,0.028,0.028,0.028,000,0.028
2015-11-04,0.028,0.028,0.028,0.028,000,0.028
2015-11-02,0.028,0.028,0.028,0.028,000,0.028
2015-10-30,0.028,0.028,0.028,0.028,000,0.028
2015-10-29,0.028,0.028,0.028,0.028,000,0.028
2015-10-28,0.028,0.028,0.028,0.028,000,0.028
2015-10-27,0.028,0.028,0.028,0.028,000,0.028
2015-10-26,0.028,0.028,0.028,0.028,000,0.028
2015-10-23,0.028,0.028,0.028,0.028,000,0.028
2015-10-22,0.028,0.028,0.028,0.028,000,0.028
2015-10-21,0.028,0.028,0.028,0.028,000,0.028
2015-10-20,0.028,0.028,0.028,0.028,000,0.028
2015-10-19,0.028,0.028,0.028,0.028,000,0.028
2015-10-16,0.028,0.028,0.028,0.028,000,0.028
2015-10-15,0.028,0.028,0.028,0.028,000,0.028
2015-10-14,0.028,0.028,0.028,0.028,000,0.028
2015-10-13,0.028,0.028,0.028,0.028,000,0.028
2015-10-12,0.028,0.028,0.028,0.028,000,0.028
2015-10-09,0.028,0.028,0.028,0.028,000,0.028
2015-10-08,0.028,0.028,0.028,0.028,000,0.028
2015-10-07,0.028,0.028,0.028,0.028,000,0.028
2015-10-06,0.028,0.028,0.028,0.028,000,0.028
2015-10-05,0.028,0.028,0.028,0.028,000,0.028
2015-10-02,0.028,0.028,0.028,0.028,000,0.028
2015-10-01,0.028,0.028,0.028,0.028,000,0.028
2015-09-30,0.028,0.028,0.028,0.028,000,0.028
2015-09-29,0.028,0.028,0.028,0.028,000,0.028
2015-09-28,0.028,0.028,0.028,0.028,000,0.028
