Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.46,1.46,1.46,1.46,000,1.46
2016-03-31,1.46,1.46,1.46,1.46,000,1.46
2016-03-30,1.46,1.46,1.46,1.46,000,1.46
2016-03-29,1.46,1.46,1.46,1.46,000,1.46
2016-03-28,1.46,1.46,1.46,1.46,000,1.46
2016-03-24,1.46,1.46,1.46,1.46,000,1.46
2016-03-23,1.46,1.46,1.46,1.46,000,1.46
2016-03-22,1.46,1.46,1.46,1.46,1000,1.46
2016-03-21,1.46,1.46,1.46,1.46,000,1.46
2016-03-18,1.47,1.47,1.46,1.46,10300,1.46
2016-03-17,1.46,1.46,1.46,1.46,30000,1.46
2016-03-16,1.54,1.54,1.54,1.54,000,1.54
2016-03-15,1.54,1.54,1.54,1.54,000,1.54
2016-03-14,1.54,1.54,1.54,1.54,000,1.54
2016-03-11,1.54,1.54,1.54,1.54,000,1.54
2016-03-10,1.54,1.54,1.54,1.54,000,1.54
2016-03-09,1.54,1.54,1.54,1.54,000,1.54
2016-03-08,1.54,1.54,1.54,1.54,000,1.54
2016-03-07,1.54,1.54,1.54,1.54,000,1.54
2016-03-04,1.54,1.54,1.54,1.54,000,1.54
2016-03-03,1.54,1.54,1.54,1.54,000,1.54
2016-03-02,1.54,1.54,1.54,1.54,000,1.54
2016-03-01,1.54,1.54,1.54,1.54,6500,1.54
2016-02-29,1.51,1.51,1.51,1.51,000,1.51
2016-02-26,1.51,1.51,1.51,1.51,000,1.51
2016-02-25,1.51,1.51,1.51,1.51,3000,1.51
2016-02-24,1.39,1.39,1.39,1.39,000,1.39
2016-02-23,1.39,1.39,1.39,1.39,000,1.39
2016-02-22,1.39,1.39,1.39,1.39,000,1.39
2016-02-19,1.39,1.39,1.39,1.39,000,1.39
2016-02-18,1.39,1.39,1.39,1.39,000,1.39
2016-02-17,1.39,1.39,1.39,1.39,000,1.39
2016-02-16,1.39,1.39,1.39,1.39,1900,1.39
2016-02-12,1.44,1.44,1.44,1.44,000,1.44
2016-02-11,1.44,1.44,1.44,1.44,000,1.44
2016-02-10,1.44,1.44,1.44,1.44,000,1.44
2016-02-09,1.44,1.44,1.44,1.44,000,1.44
2016-02-08,1.44,1.44,1.44,1.44,000,1.44
2016-02-05,1.44,1.44,1.44,1.44,000,1.44
2016-02-04,1.44,1.44,1.44,1.44,000,1.44
2016-02-03,1.44,1.44,1.44,1.44,000,1.44
2016-02-02,1.47,1.50,1.44,1.44,12100,1.44
2016-02-01,1.51,1.51,1.51,1.51,3000,1.51
2016-01-29,1.46,1.61,1.46,1.60,9800,1.60
