Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,47.459999,48.630001,47.09,47.50,5548400,47.50
2016-03-31,48.349998,49.18,48.02,48.810001,3909300,48.810001
2016-03-30,49.25,49.509998,48.07,48.639999,2997600,48.639999
2016-03-29,47.48,48.630001,47.049999,48.560001,3124000,48.560001
2016-03-28,48.98,49.080002,47.599998,48.41,3257300,48.41
2016-03-24,47.009998,48.860001,46.59,48.849998,4448600,48.849998
2016-03-23,49.279999,49.73,47.650002,47.860001,5662100,47.860001
2016-03-22,49.060001,51.32,49.02,50.27,3897600,50.27
2016-03-21,49.139999,50.75,48.740002,49.880001,3397400,49.880001
2016-03-18,51.27,51.810001,48.529999,49.630001,6528200,49.630001
2016-03-17,49.950001,51.02,49.48,50.470001,4968000,50.470001
2016-03-16,48.509998,49.98,48.110001,49.25,5653600,49.25
2016-03-15,47.029999,48.02,46.830002,47.93,5144900,47.93
2016-03-14,47.720001,48.900002,47.43,48.189999,4746600,48.189999
2016-03-11,47.380001,49.040001,47.369999,48.970001,6186800,48.970001
2016-03-10,45.900002,46.650002,44.75,46.25,5155800,46.25
2016-03-09,47.25,47.689999,45.009998,46.23,6639800,46.23
2016-03-08,50.32,50.419998,46.119999,46.169998,8047400,46.169998
2016-03-07,48.029999,51.110001,47.619999,51.02,10440100,51.02
2016-03-04,45.630001,48.939999,45.16,48.040001,8776800,48.040001
2016-03-03,41.75,45.599998,41.75,45.09,10028700,45.09
2016-03-02,38.330002,42.009998,38.16,41.970001,6605200,41.970001
2016-03-01,38.470001,38.68,36.259998,38.619999,5878900,38.619999
2016-02-29,39.490002,39.50,37.689999,38.279999,5277600,38.279999
2016-02-26,39.09,40.48,38.400002,39.470001,5545000,39.470001
2016-02-25,37.93,38.93,36.09,37.790001,7964200,37.790001
2016-02-24,36.950001,38.720001,36.209999,38.599998,7811500,38.599998
2016-02-23,38.889999,39.779999,37.860001,37.880001,5465200,37.880001
2016-02-22,38.34,39.75,38.34,39.610001,4698600,39.610001
2016-02-19,37.900002,37.970001,36.27,37.330002,5608600,37.330002
2016-02-18,40.77,40.889999,37.919998,38.799999,6679100,38.799999
2016-02-17,38.220001,40.34,37.91,40.060001,5100500,40.060001
2016-02-16,37.189999,37.880001,36.639999,37.470001,4258600,37.470001
2016-02-12,34.970001,36.939999,34.66,36.529999,5808400,36.529999
2016-02-11,34.349998,35.040001,33.23,34.380001,5866000,34.380001
2016-02-10,35.41,36.330002,35.009998,35.330002,5301400,35.330002
2016-02-09,36.529999,37.130001,34.290001,35.580002,7470000,35.580002
2016-02-08,38.200001,38.360001,36.869999,37.580002,6283300,37.580002
2016-02-05,40.299999,40.310001,38.459999,39.049999,6390000,39.049999
2016-02-04,42.060001,43.799999,40.490002,40.740002,7508300,40.740002
2016-02-03,39.73,41.299999,37.759998,41.240002,5386100,41.240002
2016-02-02,39.50,40.07,38.450001,38.549999,6255000,38.549999
2016-02-01,41.27,41.75,40.240002,40.82,5036000,40.82
2016-01-29,40.98,42.540001,40.919998,42.540001,5371300,42.540001
2016-01-28,40.759998,40.98,38.98,40.599998,4289500,40.599998
2016-01-27,37.669998,40.259998,37.400002,38.630001,5722700,38.630001
2016-01-26,38.349998,38.810001,37.080002,38.029999,7572500,38.029999
2016-01-25,38.360001,40.639999,37.380001,37.43,5861400,37.43
2016-01-22,38.990002,40.060001,37.639999,39.380001,7053600,39.380001
2016-01-21,34.330002,37.59,34.119999,37.240002,7468000,37.240002
2016-01-20,33.27,35.349998,32.200001,34.610001,8741800,34.610001
2016-01-19,35.50,35.689999,33.799999,34.48,8317500,34.229999
2016-01-15,35.240002,35.91,33.560001,35.330002,10127400,35.073838
2016-01-14,35.880001,37.639999,35.259998,37.029999,6544400,36.761509
2016-01-13,35.939999,37.220001,35.360001,35.599998,8597000,35.341877
2016-01-12,35.549999,35.689999,34.189999,35.419998,9004500,35.163182
2016-01-11,36.669998,36.860001,34.369999,35.060001,8342700,34.805795
2016-01-08,36.860001,37.59,35.07,36.650002,10451900,36.384267
2016-01-07,37.369999,38.630001,36.23,36.549999,7105900,36.28499
2016-01-06,42.099998,42.119999,38.450001,38.529999,7076700,38.250633
2016-01-05,43.50,44.029999,42.139999,43.529999,5435300,43.21438
2016-01-04,44.25,45.110001,43.75,44.43,4746800,44.107856
2015-12-31,44.50,45.09,44.389999,44.470001,2975600,44.147567
2015-12-30,44.59,45.639999,44.560001,44.810001,3942600,44.485102
2015-12-29,45.91,46.34,45.040001,45.450001,2969200,45.120461
2015-12-28,44.709999,45.299999,44.389999,44.919998,3611300,44.594301
2015-12-24,46.060001,46.560001,45.16,45.799999,1607600,45.467921
2015-12-23,43.869999,45.810001,43.52,45.709999,4673000,45.378574
2015-12-22,42.91,43.540001,42.349998,42.779999,5760900,42.469818
2015-12-21,42.669998,43.07,41.98,42.529999,4425600,42.22163
2015-12-18,42.799999,43.799999,42.560001,42.689999,5981100,42.38047
2015-12-17,44.700001,45.18,42.700001,42.950001,8073500,42.638587
2015-12-16,44.91,45.439999,44.25,44.799999,5097800,44.475172
2015-12-15,43.759998,45.369999,43.759998,45.27,5133800,44.941765
2015-12-14,42.50,44.18,41.599998,43.490002,5468200,43.174673
2015-12-11,45.25,45.509998,42.68,42.919998,6171300,42.608802
2015-12-10,44.59,46.540001,44.389999,46.189999,4585800,45.855093
2015-12-09,45.02,45.990002,44.52,44.950001,4485200,44.624086
2015-12-08,43.419998,45.32,42.919998,44.869999,5535500,44.544664
2015-12-07,44.73,45.09,43.599998,44.220001,7114000,43.899379
2015-12-04,44.959999,46.040001,43.740002,45.790001,4252800,45.457996
2015-12-03,47.740002,48.099998,45.560001,45.759998,5003100,45.428211
2015-12-02,48.77,49.279999,47.009998,47.32,3538300,46.976901
2015-12-01,49.34,49.73,48.630001,49.150002,2597300,48.793634
2015-11-30,49.759998,49.990002,48.849998,49.18,3373900,48.823415
2015-11-27,49.700001,50.189999,49.209999,49.419998,1317300,49.061673
2015-11-25,50.419998,50.939999,49.900002,50.349998,2455800,49.98493
2015-11-24,49.150002,51.439999,49.080002,50.91,4687400,50.540871
2015-11-23,48.849998,49.57,48.380001,48.849998,3041600,48.495806
2015-11-20,49.639999,50.00,48.810001,49.099998,2518500,48.743994
2015-11-19,49.650002,50.00,48.490002,49.540001,2994500,49.180806
2015-11-18,50.50,51.110001,48.68,50.099998,3659400,49.736743
2015-11-17,50.220001,50.810001,49.27,49.709999,3413500,49.349571
2015-11-16,49.099998,50.50,48.279999,50.490002,3795000,50.123919
2015-11-13,48.810001,49.849998,47.970001,48.970001,4233300,48.614939
2015-11-12,48.310001,50.060001,47.299999,48.900002,6250100,48.545447
2015-11-11,50.00,51.790001,48.830002,49.400002,7809000,49.041822
2015-11-10,53.779999,56.310001,51.869999,53.310001,10634900,52.923472
2015-11-09,53.50,55.02,52.040001,53.939999,15139900,53.548901
2015-11-06,48.889999,49.330002,46.889999,47.669998,5005200,47.324362
2015-11-05,48.330002,50.939999,48.07,49.27,5202300,48.912763
2015-11-04,50.07,50.66,48.66,49.389999,6189800,49.031892
2015-11-03,48.369999,50.200001,48.27,49.869999,5676600,49.508411
2015-11-02,46.740002,48.139999,46.549999,47.939999,4280000,47.592405
2015-10-30,46.849998,47.799999,46.220001,47.130001,4505400,46.78828
2015-10-29,45.709999,47.450001,45.580002,46.580002,3828500,46.242269
2015-10-28,44.220001,46.619999,43.759998,46.049999,3983300,45.716109
2015-10-27,44.41,44.41,42.639999,44.139999,6237900,43.819958
2015-10-26,46.349998,46.450001,45.189999,45.380001,3546100,45.050969
2015-10-23,45.529999,46.790001,45.099998,46.490002,3528500,46.152921
2015-10-22,45.41,46.34,44.91,45.970001,3550900,45.636691
2015-10-21,45.700001,46.07,44.98,45.080002,4119000,44.753144
2015-10-20,45.07,46.189999,44.82,45.919998,2900200,45.58705
2015-10-19,45.82,45.880001,45.009998,45.330002,4832500,44.753145
2015-10-16,46.970001,47.099998,45.91,46.52,3787600,45.928
2015-10-15,45.459999,46.849998,45.23,46.75,4257300,46.155073
2015-10-14,44.509998,45.959999,44.189999,45.689999,3691100,45.108561
