Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,465.00,499.50,448.80,453.85,12746800,453.85
2016-03-31,469.55,479.85,458.70,472.55,11343900,472.55
2016-03-30,449.60,477.50,447.85,472.10,13013200,472.10
2016-03-29,444.50,449.90,430.85,439.45,9982700,439.45
2016-03-28,440.55,440.55,440.55,440.55,000,440.55
2016-03-24,470.00,470.00,431.00,440.55,16872200,440.55
2016-03-23,491.60,496.55,474.95,477.60,11641600,477.60
2016-03-22,485.00,498.25,478.65,494.70,9193600,494.70
2016-03-21,488.70,505.00,486.60,488.55,9286200,488.55
2016-03-18,457.15,505.50,455.90,493.90,25033200,493.90
2016-03-17,465.10,467.45,441.00,459.05,11127700,459.05
2016-03-16,462.75,467.10,451.25,456.30,8138800,456.30
2016-03-15,478.60,481.45,461.20,464.00,13466500,464.00
2016-03-14,469.90,490.90,467.85,483.55,10067400,483.55
2016-03-11,459.00,475.371,448.567,467.80,9030700,467.80
2016-03-10,469.90,478.10,448.50,448.50,13191100,448.50
2016-03-09,477.00,484.95,464.00,469.50,8819500,469.50
2016-03-08,474.55,500.00,470.00,480.50,16556200,480.50
2016-03-07,477.05,489.10,464.25,481.75,11235600,481.75
2016-03-04,474.05,487.70,471.95,486.10,11201300,486.10
2016-03-03,455.00,489.00,452.00,469.95,11865200,469.95
2016-03-02,438.65,458.45,437.45,454.85,12560100,454.85
2016-03-01,430.65,439.00,425.651,431.95,9090500,431.95
2016-02-29,419.45,436.40,410.00,430.45,14200200,430.45
2016-02-26,393.00,433.10,391.45,430.00,16655700,430.00
2016-02-25,395.85,405.15,389.10,398.70,10174400,398.70
2016-02-24,406.95,406.95,378.50,389.10,17438700,389.10
2016-02-23,432.00,436.30,383.85,406.95,16580900,406.95
2016-02-22,424.60,439.35,418.10,436.30,8744600,436.30
2016-02-19,422.10,430.45,409.70,414.60,8702500,414.60
2016-02-18,447.70,451.40,419.30,421.80,9564100,421.80
2016-02-17,430.45,446.50,428.20,446.25,14874300,446.25
2016-02-16,453.10,454.55,417.88,428.85,11398900,428.85
2016-02-15,441.25,453.90,435.75,453.05,9034900,453.05
2016-02-12,394.00,429.00,393.35,429.00,13063500,429.00
2016-02-11,406.10,409.45,373.40,386.65,11533800,386.65
2016-02-10,406.20,413.65,396.30,407.40,12483000,407.40
2016-02-09,427.85,430.70,398.05,403.30,10384000,403.30
2016-02-08,464.30,469.90,426.936,427.00,10979700,427.00
2016-02-05,440.00,459.85,431.65,453.05,10334200,453.05
2016-02-04,424.70,445.75,420.70,437.45,16844000,437.45
2016-02-03,430.70,434.00,404.65,414.20,14245400,414.20
2016-02-02,457.85,457.85,425.80,432.70,10909900,432.70
2016-02-01,472.45,475.15,450.00,460.00,7640300,460.00
2016-01-29,468.45,471.00,459.65,471.00,11937300,471.00
2016-01-28,470.85,484.90,457.25,459.45,9045900,459.45
2016-01-27,477.00,480.80,463.65,471.35,8604300,471.35
2016-01-26,470.35,480.45,459.60,477.30,9135300,477.30
2016-01-25,493.95,494.05,474.60,478.15,7273400,478.15
2016-01-22,488.40,494.10,481.00,488.50,8698300,488.50
2016-01-21,466.80,482.10,455.50,479.25,9105700,479.25
2016-01-20,479.00,480.838,463.05,467.00,9691000,467.00
2016-01-19,500.00,503.90,486.95,491.00,9174800,491.00
2016-01-18,496.10,505.60,487.15,489.10,10972600,489.10
2016-01-15,513.50,518.80,493.80,496.30,10408100,496.30
2016-01-14,511.00,523.90,494.70,518.80,12052600,518.80
2016-01-13,517.60,524.00,512.90,516.30,6580300,516.30
2016-01-12,509.60,520.60,500.70,513.90,8404600,513.90
2016-01-11,505.40,519.50,503.80,506.60,7522900,506.60
2016-01-08,509.30,523.20,503.70,505.50,9122300,505.50
2016-01-07,501.00,509.60,492.90,505.80,10959900,505.80
2016-01-06,530.40,531.68,507.20,515.60,8294600,515.60
2016-01-05,546.30,546.30,521.40,532.30,8238400,532.30
2016-01-04,551.20,563.70,529.30,541.70,11103600,541.70
2015-12-31,566.20,568.50,560.40,563.70,1134500,563.70
2015-12-30,578.40,579.90,565.305,566.10,4533700,566.10
2015-12-29,586.50,587.30,577.30,580.80,4672100,580.80
2015-12-28,589.00,589.00,589.00,589.00,000,589.00
2015-12-25,589.00,589.00,589.00,589.00,000,589.00
2015-12-24,587.80,590.70,584.90,589.00,2785400,589.00
2015-12-23,566.00,588.00,565.20,583.60,6646700,583.60
2015-12-22,554.20,561.40,553.80,560.40,5355400,560.40
2015-12-21,549.00,565.60,544.70,549.00,9622300,549.00
2015-12-18,545.00,556.70,544.70,551.60,14588500,551.60
2015-12-17,530.40,559.50,525.20,549.90,22000700,549.90
2015-12-16,485.60,514.10,483.70,512.70,18708800,512.70
2015-12-15,481.90,484.00,476.325,482.00,15230700,482.00
2015-12-14,498.00,501.90,475.55,476.20,13074300,476.20
2015-12-11,509.00,515.10,491.00,495.35,12666100,495.35
2015-12-10,513.10,518.90,507.60,509.20,9931700,509.20
2015-12-09,518.70,521.90,505.00,515.70,11280000,515.70
2015-12-08,522.60,530.20,517.40,519.60,13822500,519.60
2015-12-07,527.00,529.70,519.00,524.20,17432400,524.20
2015-12-04,528.60,536.00,514.20,524.80,15252500,524.80
2015-12-03,542.00,547.80,525.10,528.80,18666800,528.80
2015-12-02,556.10,558.90,540.16,541.80,16855800,541.80
2015-12-01,564.00,573.10,554.30,556.70,13654900,556.70
2015-11-30,556.60,560.30,548.60,557.20,14361300,557.20
2015-11-27,561.10,561.90,555.60,558.50,7570800,558.50
2015-11-26,559.90,571.30,552.60,565.60,7806500,565.60
2015-11-25,555.00,566.60,554.80,561.20,18348400,561.20
2015-11-24,558.00,559.10,546.10,550.10,10306500,550.10
2015-11-23,566.60,568.10,550.20,560.00,9322400,560.00
2015-11-20,567.938,573.649,563.464,565.178,15078000,565.178
2015-11-19,561.371,566.891,555.279,564.416,8851800,564.416
2015-11-18,553.471,559.848,551.186,558.991,18655100,558.991
2015-11-17,551.091,559.657,547.95,554.327,6084800,554.327
2015-11-16,543.382,558.991,542.525,548.045,8668300,548.045
2015-11-13,555.755,561.846,544.714,546.522,12164000,546.522
2015-11-12,567.272,573.098,552.90,554.042,13990300,554.042
2015-11-11,577.741,578.503,562.608,565.178,10671400,565.178
2015-11-10,588.211,588.973,569.937,570.698,9506300,570.698
2015-11-09,594.874,602.774,581.739,582.215,13093900,582.215
2015-11-06,604.392,604.963,585.07,585.07,13513800,585.07
2015-11-05,634.754,634.754,594.779,596.777,13176100,596.777
2015-11-04,635.325,656.931,621.524,636.943,14244500,636.943
2015-11-03,647.223,652.362,602.488,633.898,17768400,633.898
2015-11-02,678.632,685.675,666.544,679.203,6176600,679.203
2015-10-30,691.576,698.905,680.44,686.627,6041400,686.627
2015-10-29,703.664,703.807,680.536,688.436,7171400,688.436
2015-10-28,690.434,711.088,689.102,707.567,5499500,707.567
2015-10-27,700.428,702.237,691.576,691.957,4014500,691.957
2015-10-26,705.663,709.47,700.143,702.427,3594600,702.427
2015-10-23,709.375,723.747,694.146,708.328,7408800,708.328
2015-10-22,689.007,705.282,680.536,703.379,6983000,703.379
