Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.12,0.12,0.12,0.12,000,0.12
2016-03-31,0.12,0.12,0.12,0.12,000,0.12
2016-03-30,0.12,0.12,0.12,0.12,000,0.12
2016-03-29,0.12,0.12,0.12,0.12,000,0.12
2016-03-28,0.12,0.12,0.12,0.12,000,0.12
2016-03-25,0.12,0.12,0.12,0.12,000,0.12
2016-03-24,0.12,0.12,0.12,0.12,000,0.12
2016-03-23,0.12,0.12,0.12,0.12,000,0.12
2016-03-22,0.12,0.12,0.12,0.12,25000,0.12
2016-03-21,0.12,0.12,0.12,0.12,5000,0.12
2016-03-18,0.11,0.11,0.11,0.11,000,0.11
2016-03-17,0.11,0.11,0.11,0.11,7700,0.11
2016-03-16,0.12,0.12,0.12,0.12,000,0.12
2016-03-15,0.12,0.12,0.12,0.12,000,0.12
2016-03-14,0.12,0.12,0.12,0.12,000,0.12
2016-03-11,0.12,0.12,0.12,0.12,000,0.12
2016-03-10,0.12,0.12,0.12,0.12,000,0.12
2016-03-09,0.12,0.12,0.12,0.12,000,0.12
2016-03-08,0.12,0.12,0.12,0.12,000,0.12
2016-03-07,0.12,0.12,0.12,0.12,000,0.12
2016-03-04,0.12,0.12,0.12,0.12,000,0.12
2016-03-03,0.12,0.12,0.12,0.12,000,0.12
2016-03-02,0.12,0.12,0.12,0.12,000,0.12
2016-03-01,0.12,0.12,0.12,0.12,4000,0.12
2016-02-29,0.11,0.11,0.11,0.11,000,0.11
2016-02-26,0.11,0.11,0.11,0.11,000,0.11
2016-02-25,0.11,0.11,0.11,0.11,5000,0.11
2016-02-24,0.10,0.10,0.10,0.10,000,0.10
2016-02-23,0.12,0.12,0.10,0.10,20000,0.10
2016-02-22,0.12,0.12,0.12,0.12,100,0.12
2016-02-19,0.13,0.13,0.13,0.13,000,0.13
2016-02-18,0.13,0.13,0.13,0.13,000,0.13
2016-02-17,0.13,0.13,0.13,0.13,000,0.13
2016-02-16,0.13,0.13,0.13,0.13,5000,0.13
2016-02-15,0.13,0.13,0.13,0.13,000,0.13
2016-02-12,0.14,0.14,0.13,0.13,15000,0.13
2016-02-11,0.13,0.13,0.13,0.13,000,0.13
2016-02-10,0.16,0.16,0.13,0.13,25000,0.13
2016-02-09,0.15,0.15,0.15,0.15,5000,0.15
2016-02-08,0.14,0.14,0.14,0.14,000,0.14
2016-02-05,0.14,0.14,0.14,0.14,000,0.14
2016-02-04,0.14,0.14,0.14,0.14,5000,0.14
2016-02-03,0.14,0.14,0.14,0.14,000,0.14
2016-02-02,0.14,0.14,0.14,0.14,000,0.14
2016-02-01,0.14,0.14,0.14,0.14,000,0.14
2016-01-29,0.14,0.14,0.14,0.14,000,0.14
2016-01-28,0.14,0.14,0.14,0.14,000,0.14
2016-01-27,0.14,0.14,0.14,0.14,000,0.14
2016-01-26,0.14,0.14,0.14,0.14,000,0.14
2016-01-25,0.14,0.14,0.14,0.14,9000,0.14
2016-01-22,0.14,0.14,0.14,0.14,5000,0.14
2016-01-21,0.144,0.144,0.144,0.144,000,0.144
2016-01-20,0.144,0.144,0.144,0.144,000,0.144
2016-01-19,0.144,0.144,0.144,0.144,000,0.144
2016-01-18,0.144,0.144,0.144,0.144,000,0.144
2016-01-15,0.144,0.144,0.144,0.144,000,0.144
2016-01-14,0.144,0.144,0.144,0.144,000,0.144
2016-01-13,0.144,0.144,0.144,0.144,000,0.144
2016-01-12,0.144,0.144,0.144,0.144,000,0.144
2016-01-11,0.144,0.144,0.144,0.144,000,0.144
2016-01-08,0.144,0.144,0.144,0.144,000,0.144
