Date,Open,High,Low,Close,Volume,Adj_Close
2015-04-01,1.33,1.33,1.33,1.33,000,1.33
2015-03-31,1.33,1.33,1.33,1.33,000,1.33
2015-03-30,1.33,1.33,1.33,1.33,000,1.33
2015-03-27,1.33,1.33,1.33,1.33,000,1.33
2015-03-26,1.33,1.33,1.33,1.33,000,1.33
2015-03-25,1.33,1.33,1.33,1.33,000,1.33
2015-03-24,1.33,1.33,1.33,1.33,000,1.33
2015-03-23,1.33,1.33,1.33,1.33,000,1.33
2015-03-20,1.33,1.33,1.33,1.33,000,1.33
2015-03-19,1.33,1.33,1.33,1.33,000,1.33
2015-03-18,1.33,1.33,1.33,1.33,000,1.33
2015-03-17,1.33,1.33,1.33,1.33,000,1.33
2015-03-16,1.33,1.33,1.33,1.33,000,1.33
2015-03-13,1.33,1.33,1.33,1.33,000,1.33
2015-03-12,1.33,1.33,1.33,1.33,000,1.33
2015-03-11,1.33,1.33,1.33,1.33,000,1.33
2015-03-10,1.33,1.33,1.33,1.33,000,1.33
2015-03-09,1.33,1.33,1.33,1.33,000,1.33
2015-03-06,1.33,1.33,1.33,1.33,000,1.33
2015-03-05,1.33,1.33,1.33,1.33,000,1.33
2015-03-04,1.33,1.33,1.33,1.33,000,1.33
2015-03-03,1.33,1.33,1.33,1.33,000,1.33
2015-03-02,1.33,1.33,1.33,1.33,000,1.33
2015-02-27,1.33,1.33,1.33,1.33,000,1.33
2015-02-26,1.33,1.33,1.33,1.33,000,1.33
2015-02-25,1.33,1.33,1.33,1.33,000,1.33
2015-02-24,1.33,1.33,1.33,1.33,000,1.33
2015-02-23,1.33,1.33,1.33,1.33,000,1.33
2015-02-20,1.33,1.33,1.33,1.33,000,1.33
2015-02-19,1.33,1.33,1.33,1.33,000,1.33
2015-02-18,1.33,1.33,1.33,1.33,000,1.33
2015-02-17,1.33,1.33,1.33,1.33,000,1.33
2015-02-16,1.33,1.33,1.33,1.33,000,1.33
2015-02-13,1.33,1.33,1.33,1.33,000,1.33
2015-02-12,1.33,1.33,1.33,1.33,000,1.33
2015-02-11,1.33,1.33,1.33,1.33,000,1.33
2015-02-10,1.33,1.33,1.33,1.33,000,1.33
2015-02-09,1.33,1.33,1.33,1.33,000,1.33
2015-02-06,1.33,1.33,1.33,1.33,000,1.33
2015-02-05,1.33,1.33,1.33,1.33,000,1.33
2015-02-04,1.33,1.33,1.33,1.33,000,1.33
2015-02-03,1.33,1.33,1.33,1.33,000,1.33
2015-02-02,1.33,1.33,1.33,1.33,000,1.33
2015-01-30,1.33,1.33,1.33,1.33,000,1.33
2015-01-29,1.33,1.33,1.33,1.33,000,1.33
2015-01-28,1.33,1.33,1.33,1.33,000,1.33
2015-01-27,1.33,1.33,1.33,1.33,000,1.33
2015-01-26,1.33,1.33,1.33,1.33,000,1.33
2015-01-23,1.33,1.33,1.33,1.33,000,1.33
2015-01-22,1.33,1.33,1.33,1.33,000,1.33
2015-01-21,1.33,1.33,1.33,1.33,000,1.33
2015-01-20,1.33,1.33,1.33,1.33,000,1.33
2015-01-19,1.33,1.33,1.33,1.33,000,1.33
2015-01-16,1.33,1.33,1.33,1.33,000,1.33
2015-01-15,1.33,1.33,1.33,1.33,000,1.33
2015-01-14,1.33,1.33,1.33,1.33,000,1.33
2015-01-13,1.33,1.33,1.33,1.33,000,1.33
2015-01-12,1.33,1.33,1.33,1.33,000,1.33
2015-01-09,1.33,1.33,1.33,1.33,000,1.33
2015-01-08,1.33,1.33,1.33,1.33,000,1.33
2015-01-07,1.33,1.33,1.33,1.33,000,1.33
2015-01-06,1.33,1.33,1.33,1.33,000,1.33
2015-01-05,1.33,1.33,1.33,1.33,000,1.33
2015-01-02,1.33,1.33,1.33,1.33,000,1.33
2015-01-01,1.33,1.33,1.33,1.33,000,1.33
2014-12-31,1.33,1.33,1.33,1.33,000,1.33
2014-12-30,1.33,1.33,1.33,1.33,000,1.33
2014-12-29,1.33,1.33,1.33,1.33,000,1.33
2014-12-26,1.33,1.33,1.33,1.33,000,1.33
2014-12-25,1.33,1.33,1.33,1.33,000,1.33
2014-12-24,1.33,1.33,1.33,1.33,000,1.33
2014-12-23,1.33,1.33,1.33,1.33,000,1.33
2014-12-22,1.33,1.33,1.33,1.33,000,1.33
2014-12-19,1.33,1.33,1.33,1.33,000,1.33
2014-12-18,1.33,1.33,1.33,1.33,000,1.33
2014-12-17,1.33,1.33,1.33,1.33,000,1.33
2014-12-16,1.33,1.33,1.33,1.33,000,1.33
2014-12-15,1.33,1.33,1.33,1.33,000,1.33
2014-12-12,1.33,1.33,1.33,1.33,000,1.33
2014-12-11,1.33,1.33,1.33,1.33,000,1.33
2014-12-10,1.33,1.33,1.33,1.33,000,1.33
2014-12-09,1.33,1.33,1.33,1.33,000,1.33
2014-12-08,1.33,1.33,1.33,1.33,000,1.33
2014-12-05,1.33,1.33,1.33,1.33,000,1.33
2014-12-04,1.33,1.33,1.33,1.33,000,1.33
2014-12-03,1.33,1.33,1.33,1.33,000,1.33
2014-12-02,1.33,1.33,1.33,1.33,000,1.33
2014-12-01,1.33,1.33,1.33,1.33,000,1.33
2014-11-28,1.33,1.33,1.33,1.33,000,1.33
2014-11-27,1.33,1.33,1.33,1.33,000,1.33
2014-11-26,1.33,1.33,1.33,1.33,000,1.33
2014-11-25,1.33,1.33,1.33,1.33,000,1.33
2014-11-24,1.33,1.33,1.33,1.33,000,1.33
2014-11-21,1.33,1.33,1.33,1.33,000,1.33
2014-11-20,1.33,1.33,1.33,1.33,000,1.33
2014-11-19,1.33,1.33,1.33,1.33,000,1.33
2014-11-18,1.33,1.33,1.33,1.33,000,1.33
2014-11-17,1.33,1.33,1.33,1.33,000,1.33
2014-11-14,1.33,1.33,1.33,1.33,000,1.33
2014-11-13,1.33,1.33,1.33,1.33,000,1.33
2014-11-12,1.33,1.33,1.33,1.33,000,1.33
2014-11-11,1.33,1.33,1.33,1.33,000,1.33
2014-11-10,1.33,1.33,1.33,1.33,000,1.33
2014-11-07,1.33,1.33,1.33,1.33,000,1.33
2014-11-06,1.33,1.33,1.33,1.33,000,1.33
2014-11-05,1.33,1.33,1.33,1.33,000,1.33
2014-11-04,1.33,1.33,1.33,1.33,000,1.33
2014-11-03,1.33,1.33,1.33,1.33,000,1.33
2014-10-31,1.33,1.33,1.33,1.33,000,1.33
2014-10-30,1.33,1.33,1.33,1.33,000,1.33
2014-10-29,1.33,1.33,1.33,1.33,000,1.33
2014-10-28,1.33,1.33,1.33,1.33,000,1.33
2014-10-27,1.33,1.33,1.33,1.33,000,1.33
2014-10-24,1.33,1.33,1.33,1.33,000,1.33
2014-10-23,1.33,1.33,1.33,1.33,000,1.33
2014-10-22,1.33,1.33,1.33,1.33,000,1.33
2014-10-21,1.33,1.33,1.33,1.33,000,1.33
2014-10-20,1.33,1.33,1.33,1.33,000,1.33
2014-10-17,1.33,1.33,1.33,1.33,000,1.33
2014-10-16,1.33,1.33,1.33,1.33,000,1.33
2014-10-15,1.33,1.33,1.33,1.33,000,1.33
2014-10-14,1.33,1.33,1.33,1.33,000,1.33
2014-10-13,1.33,1.33,1.33,1.33,000,1.33
2014-10-10,1.33,1.33,1.33,1.33,000,1.33
2014-10-09,1.33,1.33,1.33,1.33,000,1.33
2014-10-08,1.33,1.33,1.33,1.33,000,1.33
2014-10-07,1.33,1.33,1.33,1.33,000,1.33
2014-10-06,1.33,1.33,1.33,1.33,000,1.33
2014-10-03,1.33,1.33,1.33,1.33,000,1.33
2014-10-02,1.33,1.33,1.33,1.33,000,1.33
2014-10-01,1.33,1.33,1.33,1.33,000,1.33
2014-09-30,1.33,1.33,1.33,1.33,000,1.33
2014-09-29,1.33,1.33,1.33,1.33,000,1.33
2014-09-26,1.33,1.33,1.33,1.33,000,1.33
2014-09-25,1.33,1.33,1.33,1.33,000,1.33
2014-09-24,1.33,1.33,1.33,1.33,000,1.33
2014-09-23,1.33,1.33,1.33,1.33,000,1.33
2014-09-22,1.33,1.33,1.33,1.33,000,1.33
2014-09-19,1.33,1.33,1.33,1.33,000,1.33
