Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.823,0.823,0.823,0.823,000,0.823
2016-03-31,0.823,0.823,0.823,0.823,000,0.823
2016-03-30,0.823,0.823,0.823,0.823,000,0.823
2016-03-29,0.823,0.823,0.823,0.823,000,0.823
2016-03-28,0.823,0.823,0.823,0.823,000,0.823
2016-03-24,0.823,0.823,0.823,0.823,000,0.823
2016-03-23,0.823,0.823,0.823,0.823,000,0.823
2016-03-22,0.823,0.823,0.823,0.823,000,0.823
2016-03-21,0.823,0.823,0.823,0.823,000,0.823
2016-03-18,0.823,0.823,0.823,0.823,000,0.823
2016-03-17,0.823,0.823,0.823,0.823,000,0.823
2016-03-16,0.823,0.823,0.823,0.823,000,0.823
2016-03-15,0.823,0.823,0.823,0.823,000,0.823
2016-03-14,0.823,0.823,0.823,0.823,1000,0.823
2016-03-11,1.20,1.20,1.20,1.20,000,1.20
2016-03-10,1.20,1.20,1.20,1.20,000,1.20
2016-03-09,1.20,1.20,1.20,1.20,000,1.20
2016-03-08,1.20,1.20,1.20,1.20,000,1.20
2016-03-07,1.20,1.20,1.20,1.20,000,1.20
2016-03-04,1.20,1.20,1.20,1.20,000,1.20
2016-03-03,1.20,1.20,1.20,1.20,000,1.20
2016-03-02,1.20,1.20,1.20,1.20,000,1.20
2016-03-01,1.20,1.20,1.20,1.20,000,1.20
2016-02-29,1.20,1.20,1.20,1.20,000,1.20
2016-02-26,1.20,1.20,1.20,1.20,000,1.20
2016-02-25,1.20,1.20,1.20,1.20,000,1.20
2016-02-24,1.20,1.20,1.20,1.20,000,1.20
2016-02-23,1.20,1.20,1.20,1.20,000,1.20
2016-02-22,1.20,1.20,1.20,1.20,000,1.20
2016-02-19,1.20,1.20,1.20,1.20,000,1.20
2016-02-18,1.20,1.20,1.20,1.20,000,1.20
2016-02-17,1.20,1.20,1.20,1.20,000,1.20
2016-02-16,1.20,1.20,1.20,1.20,000,1.20
2016-02-12,1.20,1.20,1.20,1.20,000,1.20
2016-02-11,1.20,1.20,1.20,1.20,000,1.20
2016-02-10,1.20,1.20,1.20,1.20,000,1.20
2016-02-09,1.20,1.20,1.20,1.20,000,1.20
2016-02-08,1.20,1.20,1.20,1.20,000,1.20
2016-02-05,1.20,1.20,1.20,1.20,000,1.20
2016-02-04,1.20,1.20,1.20,1.20,000,1.20
2016-02-03,1.20,1.20,1.20,1.20,000,1.20
2016-02-02,1.20,1.20,1.20,1.20,000,1.20
2016-02-01,1.20,1.20,1.20,1.20,000,1.20
2016-01-29,1.20,1.20,1.20,1.20,000,1.20
2016-01-28,1.20,1.20,1.20,1.20,000,1.20
2016-01-27,1.20,1.20,1.20,1.20,000,1.20
2016-01-26,1.20,1.20,1.20,1.20,000,1.20
2016-01-25,1.20,1.20,1.20,1.20,000,1.20
2016-01-22,1.20,1.20,1.20,1.20,000,1.20
2016-01-21,1.20,1.20,1.20,1.20,000,1.20
2016-01-20,1.20,1.20,1.20,1.20,000,1.20
2016-01-19,1.20,1.20,1.20,1.20,000,1.20
