Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.06,0.06,0.06,0.06,2000,0.06
2016-03-31,0.06,0.06,0.06,0.06,000,0.06
2016-03-30,0.06,0.06,0.06,0.06,000,0.06
2016-03-29,0.06,0.06,0.06,0.06,160000,0.06
2016-03-28,0.06,0.06,0.06,0.06,900,0.06
2016-03-24,0.06,0.06,0.06,0.06,000,0.06
2016-03-23,0.06,0.06,0.06,0.06,000,0.06
2016-03-22,0.06,0.06,0.06,0.06,000,0.06
2016-03-21,0.06,0.06,0.06,0.06,2200,0.06
2016-03-18,0.06,0.06,0.06,0.06,000,0.06
2016-03-17,0.06,0.06,0.06,0.06,000,0.06
2016-03-16,0.06,0.06,0.06,0.06,000,0.06
2016-03-15,0.06,0.06,0.06,0.06,000,0.06
2016-03-14,0.06,0.06,0.06,0.06,000,0.06
2016-03-11,0.06,0.06,0.06,0.06,000,0.06
2016-03-10,0.06,0.06,0.055,0.06,154000,0.06
2016-03-09,0.06,0.06,0.06,0.06,000,0.06
2016-03-08,0.06,0.06,0.06,0.06,000,0.06
2016-03-07,0.06,0.06,0.06,0.06,000,0.06
2016-03-04,0.06,0.06,0.06,0.06,000,0.06
2016-03-03,0.07,0.07,0.06,0.06,15000,0.06
2016-03-02,0.08,0.08,0.08,0.08,000,0.08
2016-03-01,0.08,0.08,0.08,0.08,000,0.08
2016-02-29,0.08,0.08,0.08,0.08,000,0.08
2016-02-26,0.08,0.08,0.08,0.08,000,0.08
2016-02-25,0.08,0.08,0.08,0.08,000,0.08
2016-02-24,0.08,0.08,0.08,0.08,000,0.08
2016-02-23,0.08,0.08,0.08,0.08,000,0.08
2016-02-22,0.08,0.08,0.08,0.08,000,0.08
2016-02-19,0.07,0.08,0.07,0.08,28000,0.08
2016-02-18,0.05,0.05,0.05,0.05,000,0.05
2016-02-17,0.05,0.05,0.05,0.05,000,0.05
2016-02-16,0.05,0.05,0.05,0.05,000,0.05
2016-02-12,0.05,0.05,0.05,0.05,000,0.05
2016-02-11,0.05,0.05,0.05,0.05,000,0.05
2016-02-10,0.05,0.05,0.05,0.05,000,0.05
2016-02-09,0.05,0.05,0.05,0.05,100000,0.05
2016-02-08,0.04,0.04,0.04,0.04,000,0.04
2016-02-05,0.045,0.045,0.04,0.04,30000,0.04
2016-02-04,0.05,0.05,0.05,0.05,000,0.05
2016-02-03,0.05,0.05,0.05,0.05,000,0.05
2016-02-02,0.05,0.05,0.05,0.05,000,0.05
2016-02-01,0.055,0.055,0.025,0.05,19000,0.05
2016-01-29,0.055,0.055,0.055,0.055,1500,0.055
2016-01-28,0.05,0.05,0.05,0.05,000,0.05
2016-01-27,0.05,0.05,0.05,0.05,000,0.05
2016-01-26,0.05,0.05,0.05,0.05,000,0.05
2016-01-25,0.05,0.05,0.05,0.05,000,0.05
2016-01-22,0.05,0.05,0.05,0.05,000,0.05
2016-01-21,0.05,0.05,0.05,0.05,000,0.05
2016-01-20,0.05,0.05,0.05,0.05,000,0.05
2016-01-19,0.05,0.05,0.05,0.05,000,0.05
2016-01-18,0.05,0.05,0.05,0.05,000,0.05
2016-01-15,0.05,0.05,0.05,0.05,000,0.05
2016-01-14,0.05,0.05,0.05,0.05,000,0.05
2016-01-13,0.05,0.05,0.05,0.05,000,0.05
2016-01-12,0.05,0.05,0.05,0.05,000,0.05
2016-01-11,0.05,0.05,0.05,0.05,000,0.05
2016-01-08,0.05,0.05,0.05,0.05,000,0.05
2016-01-07,0.05,0.05,0.05,0.05,000,0.05
2016-01-06,0.05,0.05,0.05,0.05,000,0.05
2016-01-05,0.05,0.05,0.05,0.05,000,0.05
2016-01-04,0.05,0.05,0.05,0.05,000,0.05
2015-12-31,0.05,0.05,0.05,0.05,000,0.05
2015-12-30,0.05,0.05,0.05,0.05,000,0.05
2015-12-29,0.05,0.05,0.05,0.05,000,0.05
2015-12-24,0.05,0.05,0.05,0.05,000,0.05
2015-12-23,0.05,0.05,0.05,0.05,000,0.05
2015-12-22,0.055,0.055,0.05,0.05,12000,0.05
2015-12-21,0.055,0.055,0.055,0.055,5000,0.055
2015-12-18,0.06,0.06,0.035,0.055,471000,0.055
2015-12-17,0.06,0.06,0.06,0.06,000,0.06
2015-12-16,0.065,0.065,0.06,0.06,4500,0.06
2015-12-15,0.075,0.075,0.075,0.075,000,0.075
2015-12-14,0.075,0.075,0.075,0.075,2000,0.075
2015-12-11,0.075,0.075,0.075,0.075,000,0.075
2015-12-10,0.075,0.075,0.075,0.075,000,0.075
2015-12-09,0.075,0.075,0.075,0.075,000,0.075
2015-12-08,0.075,0.075,0.075,0.075,000,0.075
2015-12-07,0.075,0.075,0.075,0.075,000,0.075
2015-12-04,0.075,0.075,0.075,0.075,000,0.075
2015-12-03,0.075,0.075,0.075,0.075,000,0.075
2015-12-02,0.075,0.075,0.075,0.075,000,0.075
2015-12-01,0.075,0.075,0.075,0.075,000,0.075
2015-11-30,0.075,0.075,0.075,0.075,000,0.075
2015-11-27,0.075,0.075,0.075,0.075,000,0.075
2015-11-26,0.075,0.075,0.075,0.075,10000,0.075
2015-11-25,0.07,0.07,0.07,0.07,000,0.07
2015-11-24,0.07,0.07,0.07,0.07,000,0.07
2015-11-23,0.07,0.07,0.07,0.07,000,0.07
2015-11-20,0.07,0.07,0.07,0.07,000,0.07
2015-11-19,0.07,0.07,0.07,0.07,000,0.07
2015-11-18,0.07,0.07,0.07,0.07,000,0.07
2015-11-17,0.07,0.07,0.07,0.07,000,0.07
2015-11-16,0.07,0.07,0.07,0.07,000,0.07
2015-11-13,0.07,0.07,0.07,0.07,000,0.07
2015-11-12,0.07,0.07,0.07,0.07,000,0.07
2015-11-11,0.07,0.07,0.07,0.07,000,0.07
2015-11-10,0.07,0.07,0.07,0.07,000,0.07
2015-11-09,0.07,0.07,0.07,0.07,000,0.07
2015-11-06,0.07,0.07,0.07,0.07,000,0.07
2015-11-05,0.07,0.07,0.07,0.07,000,0.07
2015-11-04,0.07,0.07,0.07,0.07,000,0.07
2015-11-03,0.07,0.07,0.07,0.07,000,0.07
2015-11-02,0.07,0.07,0.07,0.07,000,0.07
2015-10-30,0.07,0.07,0.07,0.07,28000,0.07
2015-10-29,0.075,0.075,0.06,0.06,11000,0.06
2015-10-28,0.065,0.065,0.065,0.065,000,0.065
2015-10-27,0.065,0.065,0.065,0.065,000,0.065
2015-10-26,0.07,0.07,0.07,0.07,000,0.07
2015-10-23,0.08,0.08,0.08,0.08,000,0.08
2015-10-22,0.09,0.09,0.08,0.08,3000,0.08
2015-10-21,0.09,0.09,0.09,0.09,000,0.09
2015-10-20,0.09,0.09,0.09,0.09,000,0.09
2015-10-19,0.085,0.09,0.085,0.09,10000,0.09
2015-10-16,0.07,0.07,0.07,0.07,000,0.07
2015-10-15,0.07,0.07,0.07,0.07,000,0.07
2015-10-14,0.07,0.07,0.07,0.07,000,0.07
2015-10-13,0.065,0.065,0.065,0.065,000,0.065
2015-10-09,0.065,0.065,0.065,0.065,4000,0.065
2015-10-08,0.065,0.065,0.065,0.065,000,0.065
2015-10-07,0.065,0.065,0.065,0.065,000,0.065
2015-10-06,0.065,0.065,0.065,0.065,000,0.065
2015-10-05,0.065,0.065,0.065,0.065,000,0.065
2015-10-02,0.07,0.07,0.065,0.065,2000,0.065
2015-10-01,0.07,0.07,0.07,0.07,10000,0.07
2015-09-30,0.08,0.085,0.08,0.08,52000,0.08
2015-09-29,0.07,0.07,0.07,0.07,000,0.07
2015-09-28,0.07,0.07,0.07,0.07,1000,0.07
2015-09-25,0.07,0.07,0.07,0.07,000,0.07
2015-09-24,0.07,0.07,0.07,0.07,000,0.07
2015-09-23,0.07,0.07,0.07,0.07,000,0.07
2015-09-22,0.07,0.07,0.07,0.07,000,0.07
2015-09-21,0.07,0.07,0.07,0.07,1000,0.07
2015-09-18,0.07,0.07,0.07,0.07,000,0.07
2015-09-17,0.07,0.07,0.07,0.07,000,0.07
2015-09-16,0.07,0.07,0.07,0.07,000,0.07
2015-09-15,0.07,0.07,0.07,0.07,22800,0.07
2015-09-14,0.075,0.075,0.075,0.075,000,0.075
2015-09-11,0.08,0.08,0.075,0.075,15000,0.075
2015-09-10,0.08,0.08,0.065,0.08,45000,0.08
2015-09-09,0.105,0.105,0.105,0.105,000,0.105
2015-09-08,0.10,0.10,0.10,0.10,000,0.10
2015-09-04,0.10,0.10,0.10,0.10,000,0.10
