Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.30,0.33,0.30,0.30,23000,0.30
2016-03-31,0.33,0.33,0.33,0.33,000,0.33
2016-03-30,0.33,0.33,0.33,0.33,1000,0.33
2016-03-29,0.33,0.33,0.33,0.33,000,0.33
2016-03-28,0.33,0.33,0.33,0.33,000,0.33
2016-03-25,0.33,0.33,0.33,0.33,000,0.33
2016-03-24,0.33,0.33,0.33,0.33,000,0.33
2016-03-23,0.31,0.33,0.31,0.33,99500,0.33
2016-03-22,0.31,0.31,0.31,0.31,1600,0.31
2016-03-21,0.31,0.31,0.31,0.31,000,0.31
2016-03-18,0.32,0.32,0.31,0.31,37700,0.31
2016-03-17,0.35,0.35,0.35,0.35,000,0.35
2016-03-16,0.35,0.35,0.35,0.35,000,0.35
2016-03-15,0.35,0.35,0.35,0.35,000,0.35
2016-03-14,0.36,0.36,0.35,0.35,31800,0.35
2016-03-11,0.35,0.35,0.33,0.33,40400,0.33
2016-03-10,0.36,0.36,0.36,0.36,46300,0.36
2016-03-09,0.37,0.37,0.36,0.36,45000,0.36
2016-03-08,0.36,0.36,0.36,0.36,15000,0.36
2016-03-07,0.385,0.385,0.36,0.36,48500,0.36
2016-03-04,0.37,0.38,0.37,0.38,27000,0.38
2016-03-03,0.375,0.375,0.37,0.37,33200,0.37
2016-03-02,0.40,0.40,0.37,0.37,55000,0.37
2016-03-01,0.38,0.40,0.37,0.40,38400,0.40
2016-02-29,0.38,0.38,0.38,0.38,000,0.38
2016-02-26,0.38,0.38,0.38,0.38,12500,0.38
2016-02-25,0.35,0.38,0.345,0.36,32800,0.36
2016-02-24,0.35,0.35,0.35,0.35,000,0.35
2016-02-23,0.38,0.38,0.35,0.35,21200,0.35
2016-02-22,0.36,0.365,0.36,0.36,10100,0.36
2016-02-19,0.36,0.36,0.35,0.355,23800,0.355
2016-02-18,0.39,0.40,0.36,0.36,34500,0.36
2016-02-17,0.34,0.415,0.34,0.35,87900,0.35
2016-02-16,0.40,0.40,0.385,0.385,20500,0.385
2016-02-15,0.39,0.40,0.39,0.40,35000,0.40
2016-02-12,0.385,0.385,0.385,0.385,61400,0.385
2016-02-11,0.39,0.39,0.39,0.39,000,0.39
2016-02-10,0.365,0.39,0.365,0.39,22100,0.39
2016-02-09,0.37,0.37,0.35,0.365,87800,0.365
2016-02-08,0.375,0.375,0.37,0.37,25000,0.37
2016-02-05,0.40,0.42,0.40,0.40,67500,0.40
2016-02-04,0.40,0.40,0.385,0.385,5600,0.385
2016-02-03,0.415,0.415,0.415,0.415,000,0.415
2016-02-02,0.44,0.44,0.415,0.415,46300,0.415
2016-02-01,0.45,0.48,0.445,0.445,250400,0.445
2016-01-29,0.415,0.44,0.405,0.44,120000,0.44
2016-01-28,0.40,0.40,0.385,0.40,19600,0.40
2016-01-27,0.40,0.41,0.375,0.395,322900,0.395
2016-01-26,0.36,0.36,0.36,0.36,000,0.36
2016-01-25,0.36,0.37,0.345,0.36,59500,0.36
2016-01-22,0.33,0.355,0.33,0.33,25000,0.33
2016-01-21,0.40,0.44,0.36,0.37,681500,0.37
2016-01-20,0.35,0.35,0.32,0.325,198000,0.325
2016-01-19,0.38,0.38,0.35,0.35,111600,0.35
2016-01-18,0.40,0.40,0.35,0.38,135100,0.38
2016-01-15,0.40,0.43,0.40,0.41,29400,0.41
2016-01-14,0.445,0.445,0.38,0.40,282300,0.40
2016-01-13,0.47,0.49,0.44,0.44,142900,0.44
2016-01-12,0.52,0.53,0.52,0.53,20000,0.53
2016-01-11,0.485,0.485,0.445,0.48,92100,0.48
2016-01-08,0.48,0.50,0.47,0.485,96600,0.485
2016-01-07,0.55,0.55,0.495,0.495,106100,0.495
2016-01-06,0.55,0.59,0.54,0.54,99200,0.54
2016-01-05,0.58,0.585,0.495,0.55,121900,0.55
2016-01-04,0.50,0.60,0.495,0.58,268900,0.58
2016-01-01,0.48,0.48,0.48,0.48,000,0.48
2015-12-31,0.435,0.48,0.42,0.48,91000,0.48
2015-12-30,0.425,0.45,0.40,0.425,208600,0.425
2015-12-29,0.515,0.515,0.40,0.425,516100,0.425
2015-12-28,0.51,0.51,0.51,0.51,000,0.51
2015-12-25,0.51,0.51,0.51,0.51,000,0.51
2015-12-24,0.59,0.60,0.45,0.51,681100,0.51
2015-12-23,0.495,0.62,0.495,0.57,2085300,0.57
2015-12-22,0.21,0.45,0.21,0.435,2280400,0.435
2015-12-21,0.20,0.23,0.20,0.21,278200,0.21
