Date,Open,High,Low,Close,Volume,Adj_Close
2015-10-30,0.03,0.03,0.03,0.03,000,0.03
2015-10-29,0.03,0.03,0.03,0.03,000,0.03
2015-10-28,0.03,0.03,0.03,0.03,000,0.03
2015-10-27,0.03,0.03,0.03,0.03,000,0.03
2015-10-26,0.03,0.03,0.03,0.03,000,0.03
2015-10-23,0.03,0.03,0.03,0.03,000,0.03
2015-10-22,0.03,0.03,0.03,0.03,000,0.03
2015-10-21,0.03,0.03,0.03,0.03,000,0.03
2015-10-20,0.03,0.03,0.03,0.03,000,0.03
2015-10-19,0.03,0.03,0.03,0.03,000,0.03
2015-10-16,0.03,0.03,0.03,0.03,000,0.03
2015-10-15,0.03,0.03,0.03,0.03,10000,0.03
2015-10-14,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-10-13,0.0255,0.0255,0.0255,0.0255,2000,0.0255
2015-10-12,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-10-09,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-10-08,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-10-07,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-10-06,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-10-05,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-10-02,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-10-01,0.0255,0.0255,0.0255,0.0255,7000,0.0255
2015-09-30,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-29,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-28,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-25,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-24,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-23,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-22,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-21,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-18,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-17,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-16,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-15,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-14,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-11,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-10,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-09,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-08,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-07,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-04,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-03,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-02,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-09-01,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-08-31,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-08-28,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-08-27,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-08-26,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-08-25,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-08-24,0.0255,0.0255,0.0255,0.0255,000,0.0255
2015-08-21,0.0255,0.0255,0.0255,0.0255,000,0.0255
