Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.01,0.01,0.01,0.01,000,0.01
2016-03-31,0.01,0.01,0.01,0.01,35000,0.01
2016-03-30,0.01,0.01,0.01,0.01,000,0.01
2016-03-29,0.01,0.01,0.01,0.01,000,0.01
2016-03-28,0.01,0.01,0.01,0.01,000,0.01
2016-03-25,0.01,0.01,0.01,0.01,000,0.01
2016-03-24,0.01,0.01,0.01,0.01,000,0.01
2016-03-23,0.01,0.01,0.01,0.01,5000,0.01
2016-03-22,0.009,0.009,0.009,0.009,000,0.009
2016-03-21,0.009,0.009,0.009,0.009,000,0.009
2016-03-18,0.009,0.009,0.009,0.009,000,0.009
2016-03-17,0.009,0.009,0.009,0.009,8000,0.009
2016-03-16,0.01,0.01,0.01,0.01,000,0.01
2016-03-15,0.01,0.01,0.01,0.01,000,0.01
2016-03-14,0.01,0.01,0.01,0.01,000,0.01
2016-03-11,0.0125,0.0125,0.01,0.01,54300,0.01
2016-03-10,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-03-09,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-03-08,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-03-07,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-03-04,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-03-03,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-03-02,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-03-01,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-29,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-26,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-25,0.0125,0.0125,0.0125,0.0125,200,0.0125
2016-02-24,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-23,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-22,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-19,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-18,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-17,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-16,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-15,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-12,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-11,0.0127,0.0127,0.0125,0.0125,40000,0.0125
2016-02-10,0.0135,0.0135,0.0125,0.0125,31000,0.0125
2016-02-09,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-08,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-05,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-04,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-03,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-02,0.0125,0.0125,0.0125,0.0125,000,0.0125
2016-02-01,0.0125,0.0125,0.0125,0.0125,20000,0.0125
