Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.31,0.31,0.31,0.31,000,0.31
2016-03-31,0.31,0.31,0.31,0.31,000,0.31
2016-03-30,0.31,0.31,0.31,0.31,000,0.31
2016-03-29,0.31,0.31,0.31,0.31,000,0.31
2016-03-28,0.31,0.31,0.31,0.31,000,0.31
2016-03-25,0.31,0.31,0.31,0.31,000,0.31
2016-03-24,0.31,0.31,0.31,0.31,000,0.31
2016-03-23,0.31,0.31,0.31,0.31,000,0.31
2016-03-22,0.31,0.31,0.31,0.31,000,0.31
2016-03-21,0.31,0.31,0.31,0.31,000,0.31
2016-03-18,0.31,0.31,0.31,0.31,2100,0.31
2016-03-17,0.295,0.295,0.295,0.295,000,0.295
2016-03-16,0.295,0.295,0.295,0.295,4700,0.295
2016-03-15,0.25,0.25,0.25,0.25,000,0.25
2016-03-14,0.25,0.25,0.25,0.25,000,0.25
2016-03-11,0.25,0.25,0.25,0.25,000,0.25
2016-03-10,0.25,0.25,0.25,0.25,000,0.25
2016-03-09,0.25,0.25,0.25,0.25,000,0.25
2016-03-08,0.25,0.25,0.25,0.25,000,0.25
2016-03-07,0.25,0.25,0.25,0.25,000,0.25
2016-03-04,0.25,0.25,0.25,0.25,000,0.25
2016-03-03,0.25,0.25,0.25,0.25,000,0.25
2016-03-02,0.25,0.25,0.25,0.25,000,0.25
2016-03-01,0.25,0.25,0.25,0.25,000,0.25
2016-02-29,0.25,0.25,0.25,0.25,000,0.25
2016-02-26,0.25,0.25,0.25,0.25,000,0.25
2016-02-25,0.25,0.25,0.25,0.25,000,0.25
2016-02-24,0.25,0.25,0.25,0.25,000,0.25
2016-02-23,0.25,0.25,0.25,0.25,000,0.25
2016-02-22,0.25,0.25,0.25,0.25,000,0.25
2016-02-19,0.25,0.25,0.25,0.25,000,0.25
2016-02-18,0.25,0.25,0.25,0.25,000,0.25
2016-02-17,0.25,0.25,0.25,0.25,000,0.25
2016-02-16,0.25,0.25,0.25,0.25,000,0.25
2016-02-15,0.25,0.25,0.25,0.25,000,0.25
2016-02-12,0.25,0.25,0.25,0.25,000,0.25
2016-02-11,0.25,0.25,0.25,0.25,000,0.25
2016-02-10,0.25,0.25,0.25,0.25,000,0.25
2016-02-09,0.25,0.25,0.25,0.25,000,0.25
2016-02-08,0.25,0.25,0.25,0.25,000,0.25
2016-02-05,0.25,0.25,0.25,0.25,000,0.25
2016-02-04,0.25,0.25,0.25,0.25,000,0.25
2016-02-03,0.25,0.25,0.25,0.25,000,0.25
2016-02-02,0.25,0.25,0.25,0.25,000,0.25
2016-02-01,0.25,0.25,0.25,0.25,000,0.25
2016-01-29,0.25,0.25,0.25,0.25,000,0.25
2016-01-28,0.25,0.25,0.25,0.25,000,0.25
2016-01-27,0.25,0.25,0.25,0.25,000,0.25
2016-01-26,0.25,0.25,0.25,0.25,000,0.25
2016-01-25,0.25,0.25,0.25,0.25,000,0.25
2016-01-22,0.25,0.25,0.25,0.25,000,0.25
2016-01-21,0.25,0.25,0.25,0.25,000,0.25
2016-01-20,0.25,0.25,0.25,0.25,000,0.25
2016-01-19,0.25,0.25,0.25,0.25,000,0.25
2016-01-18,0.25,0.25,0.25,0.25,000,0.25
2016-01-15,0.25,0.25,0.25,0.25,000,0.25
2016-01-14,0.25,0.25,0.25,0.25,000,0.25
2016-01-13,0.25,0.25,0.25,0.25,000,0.25
